label,path
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g01_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g01_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g01_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g01_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g01_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g01_c06
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g01_c07
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g02_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g02_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g02_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g02_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g02_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g02_c06
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g02_c07
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g03_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g03_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g03_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g03_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g03_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g04_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g04_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g04_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g04_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g04_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g05_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g05_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g05_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g05_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g05_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g06_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g06_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g06_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g06_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g06_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g06_c06
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g07_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g07_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g07_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g07_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g07_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g07_c06
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g08_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g08_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g08_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g08_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g08_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g09_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g09_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g09_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g09_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g09_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g09_c06
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g09_c07
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g10_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g10_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g10_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g10_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g10_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g10_c06
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g10_c07
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g11_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g11_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g11_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g11_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g11_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g11_c06
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g11_c07
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g12_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g12_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g12_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g12_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g13_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g13_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g13_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g13_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g13_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g13_c06
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g13_c07
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g14_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g14_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g14_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g14_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g15_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g15_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g15_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g15_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g15_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g15_c06
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g15_c07
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g16_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g16_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g16_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g16_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g16_c05
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g17_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g17_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g17_c03
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g17_c04
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g18_c01
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g18_c02
0,C:\Users\Charlescai\PycharmProjects\Action_recognition_tf-master\test_dataset\Archery\v_Archery_g18_c03
